49	2019-03-12 18:49:31.622091+00	2019-03-12 18:49:31.622106+00	verbose	f	f	40a9f898-9c89-4e39-9edb-18cf70268925					6	0	5	6	7	\N		\N	
50	2019-03-12 18:49:31.510782+00	2019-03-12 18:49:31.657851+00	playbook_on_stats	f	f	91b6eae2-4f34-4017-9c50-cd4c46269317	ping.yml				10	0	9	12	7	\N		\N	4526cd6d-7a1d-48d2-94a2-007c84afdf19
51	2019-03-12 18:49:36.457955+00	2019-03-12 18:49:36.457972+00	verbose	f	f	28892eae-d3cf-417b-bf94-3be8925caa8f					1	0	0	1	8	\N		\N	
52	2019-03-12 18:49:36.460122+00	2019-03-12 18:49:36.460146+00	verbose	f	f	c32f3cf4-6e90-4b6e-a460-40d504dba2c7					2	0	1	2	8	\N		\N	
53	2019-03-12 18:49:36.462662+00	2019-03-12 18:49:36.462676+00	verbose	f	f	0287ad66-628a-4bf8-b963-d9a2380852cb					3	0	2	3	8	\N		\N	
54	2019-03-12 18:49:36.465051+00	2019-03-12 18:49:36.46508+00	verbose	f	f	901c34a8-d44f-4afb-b86e-e7d98a7ca1b2					4	0	3	4	8	\N		\N	
55	2019-03-12 18:49:36.508507+00	2019-03-12 18:49:36.508521+00	verbose	f	f	126aecfb-08b1-4ceb-89c9-5e1dc21105f0					5	0	4	5	8	\N		\N	
56	2019-03-12 18:49:36.479341+00	2019-03-12 18:49:36.508857+00	playbook_on_stats	f	f	f57f1d51-9052-47ad-bd64-da50b47e0248	ping.yml				10	0	9	12	8	\N		\N	f77dac36-fcf7-48ea-9b15-0b9647607d7a
57	2019-03-12 18:49:36.511437+00	2019-03-12 18:49:36.511459+00	verbose	f	f	f96d4f95-e9fa-48e4-a93e-b4a72791044e					6	0	5	6	8	\N		\N	
58	2019-03-12 18:49:36.476185+00	2019-03-12 18:49:36.544201+00	playbook_on_play_start	f	f	0242ac12-0005-8714-700f-000000000005	ping.yml	all			8	0	6	8	8	\N		\N	f77dac36-fcf7-48ea-9b15-0b9647607d7a
59	2019-03-12 18:49:36.422069+00	2019-03-12 18:49:36.551086+00	playbook_on_start	f	f	f77dac36-fcf7-48ea-9b15-0b9647607d7a	ping.yml				7	0	6	6	8	\N		\N	
60	2019-03-12 18:49:36.476955+00	2019-03-12 18:49:36.589691+00	playbook_on_no_hosts_matched	f	f	0f3f4b7c-3239-4979-b0bc-508d54e1b3ee	ping.yml	all			9	0	8	9	8	\N		\N	0242ac12-0005-8714-700f-000000000005
61	2019-03-12 18:49:41.366128+00	2019-03-12 18:49:41.366143+00	verbose	f	f	a79aa43e-dca0-4e06-89de-d43f34c3b0c0					1	0	0	1	9	\N		\N	
62	2019-03-12 18:49:41.368945+00	2019-03-12 18:49:41.368969+00	verbose	f	f	c4ddcdc2-739b-4cab-8b49-e7c1d4980541					2	0	1	2	9	\N		\N	
63	2019-03-12 18:49:41.370901+00	2019-03-12 18:49:41.370922+00	verbose	f	f	4a7d8060-bbbe-4c50-b2ff-f378f713aee3					4	0	3	4	9	\N		\N	
64	2019-03-12 18:49:41.372238+00	2019-03-12 18:49:41.372261+00	verbose	f	f	2ee60d54-a8c5-43dc-8335-c0e4258a363d					3	0	2	3	9	\N		\N	
65	2019-03-12 18:49:41.413201+00	2019-03-12 18:49:41.413217+00	verbose	f	f	acf6e932-486d-4cff-a4df-efef6758851b					6	0	5	6	9	\N		\N	
66	2019-03-12 18:49:41.415449+00	2019-03-12 18:49:41.415464+00	verbose	f	f	2002bcaf-8fbe-45b9-81b2-adb352611dc2					5	0	4	5	9	\N		\N	
67	2019-03-12 18:49:41.334544+00	2019-03-12 18:49:41.420195+00	playbook_on_start	f	f	9bb07fd6-6f01-4a6a-af3f-818e7d83cbb6	ping.yml				7	0	6	6	9	\N		\N	
68	2019-03-12 18:49:41.384696+00	2019-03-12 18:49:41.446092+00	playbook_on_play_start	f	f	0242ac12-0005-59ab-a14f-000000000005	ping.yml	all			8	0	6	8	9	\N		\N	9bb07fd6-6f01-4a6a-af3f-818e7d83cbb6
69	2019-03-12 18:49:41.38541+00	2019-03-12 18:49:41.448674+00	playbook_on_no_hosts_matched	f	f	96bab59e-8dd6-43d1-8232-46c2f19f70a0	ping.yml	all			9	0	8	9	9	\N		\N	0242ac12-0005-59ab-a14f-000000000005
70	2019-03-12 18:49:41.386423+00	2019-03-12 18:49:41.477009+00	playbook_on_stats	f	f	52b34382-e700-4ec9-ae14-01ad85141045	ping.yml				10	0	9	12	9	\N		\N	9bb07fd6-6f01-4a6a-af3f-818e7d83cbb6
71	2019-03-12 18:49:46.275255+00	2019-03-12 18:49:46.275283+00	verbose	f	f	126a060a-a101-461b-8387-d00bc302485b					1	0	0	1	10	\N		\N	
72	2019-03-12 18:49:46.279508+00	2019-03-12 18:49:46.279523+00	verbose	f	f	89bd8cdf-30cb-413a-82a5-11ef11dc2a7a					3	0	2	3	10	\N		\N	
73	2019-03-12 18:49:46.279961+00	2019-03-12 18:49:46.279975+00	verbose	f	f	df27221b-6609-4190-8fa0-347e96b1d970					2	0	1	2	10	\N		\N	
74	2019-03-12 18:49:46.28559+00	2019-03-12 18:49:46.285617+00	verbose	f	f	7f2c9eb3-bc87-4e91-8548-0e1baf55e34a					4	0	3	4	10	\N		\N	
75	2019-03-12 18:49:46.321715+00	2019-03-12 18:49:46.321739+00	verbose	f	f	991ff5bd-0b7d-40c7-9100-504db591b622					5	0	4	5	10	\N		\N	
76	2019-03-12 18:49:46.295351+00	2019-03-12 18:49:46.324498+00	playbook_on_play_start	f	f	0242ac12-0005-f1cc-9823-000000000005	ping.yml	all			8	0	6	8	10	\N		\N	d89f03e3-9844-4c8f-908f-ee77a9e4f5af
77	2019-03-12 18:49:46.334558+00	2019-03-12 18:49:46.334572+00	verbose	f	f	e0795204-75e8-4834-8e06-61a3722494c9					6	0	5	6	10	\N		\N	
78	2019-03-12 18:49:46.241096+00	2019-03-12 18:49:46.358564+00	playbook_on_start	f	f	d89f03e3-9844-4c8f-908f-ee77a9e4f5af	ping.yml				7	0	6	6	10	\N		\N	
